"keyword_slug","facet","label","definition","parent_slug","aliases","programmer_context","content_editor_context","zotonic_evidence","wikidata_id","wikidata_label","priority","source_url"
"operator","audience","Operator","A person responsible for deploying observing maintaining backing up and recovering Zotonic systems.","","system administrator|DevOps|SRE","Primary audience for runtime configuration logs storage TLS queues and scheduled work.","Relevant when infrastructure affects availability delivery or editorial continuity.","zotonic_launcher mod_backup mod_logging mod_ssl_ca","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"content_management","domain","Content management","Creating organizing maintaining and delivering structured digital content.","","CMS|web content management","Umbrella for resource APIs content models lifecycle and delivery.","Umbrella for authoring organizing and publishing site material.","mod_admin zotonic_core resource models","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"content_modeling","domain","Content modeling","Defining content types properties relationships and constraints.","content_management","information architecture|schema design","Covers categories predicates resources properties and validation rules.","Covers deciding which fields content types and relationships editors use.","m_rsc m_category m_predicate mod_admin_category mod_admin_predicate","Q1172480","data model","core","https://www.wikidata.org/wiki/Q1172480"
"metadata","domain","Metadata","Structured descriptive administrative or technical information about content and media.","content_modeling","properties|descriptive data","Covers resource properties media metadata indexing and machine-readable descriptions.","Covers titles summaries dates attribution language and information used for search or sharing.","m_rsc mod_media_exif mod_seo","Q180160","metadata","core","https://www.wikidata.org/wiki/Q180160"
"content_authoring","domain","Content authoring","Creating and editing content and its properties through an interface or API.","content_management","editing|writing","Covers edit controllers form handling validation and resource updates.","Covers writing updating previewing and saving pages.","mod_admin controller_admin_edit m_rsc_update","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_admin"
"editorial_workflow","domain","Editorial workflow","Coordinating content states review responsibility and publication decisions.","content_management","review workflow|approval workflow","Covers workflow state permissions notifications and scheduled transitions.","Covers draft review approval publication and collaboration.","mod_admin mod_content_groups mod_acl_user_groups","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_admin"
"publishing","domain","Publishing","Making content visible available and addressable to its intended audience.","content_management","publication|go live","Covers publication state dates ACL visibility cache invalidation and URLs.","Covers publishing unpublishing scheduling and checking visibility.","m_rsc mod_admin controller_page","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_core"
"categorization","domain","Categorization","Classifying resources with a hierarchy of content categories.","content_modeling","taxonomy|content type","Covers category trees category APIs and category-dependent behavior.","Covers assigning content types and organizing categories.","m_category mod_admin_category","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_admin_category"
"content_relationships","domain","Content relationships","Connecting resources with typed semantic relationships.","content_modeling","relations|linked content","Covers predicates edges graph traversal and relationship constraints.","Covers linking people pages media organizations and other content.","m_edge m_predicate mod_admin_predicate","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_admin_predicate"
"navigation","domain","Navigation","Organizing links and content into menus and navigational structures.","content_management","menu|site navigation","Covers menu models rendering edit actions and hierarchy manipulation.","Covers building and maintaining site menus.","mod_menu m_menu scomp_menu_menu","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_menu"
"media_management","domain","Media management","Managing files and media resources throughout their lifecycle.","content_management","digital assets|asset management","Covers media identification storage metadata previews replacement and deletion.","Covers uploading organizing previewing replacing and reusing media.","zotonic_mod_base m_media mod_fileuploader","Q1076968","digital media","core","https://www.wikidata.org/wiki/Q1076968"
"image_management","domain","Image management","Importing editing transforming and rendering image media.","media_management","image processing|image editing","Covers image identification filters previews crops and mediaclasses.","Covers upload crop focal point preview and image reuse.","mod_image_edit z_media_preview filters for image URLs","Q327008","image processing","core","https://www.wikidata.org/wiki/Q327008"
"audio_management","domain","Audio management","Importing identifying storing and presenting audio media.","media_management","sound|audio processing","Covers audio MIME handling metadata preview and playback integration.","Covers uploading describing and publishing audio.","mod_audio m_media","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_audio"
"video_management","domain","Video management","Importing embedding transcoding previewing and presenting video media.","media_management","video processing|video embedding","Covers video services embed metadata previews and media integration.","Covers embedding uploading previewing and publishing video.","mod_video mod_video_embed","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_video"
"file_uploads","domain","File uploads","Receiving validating and attaching files supplied by users or external clients.","media_management","uploader|attachment upload","Covers upload controllers chunking progress MIME checks and media insertion.","Covers adding documents images and other files to content.","mod_fileuploader controller_fileuploader","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_fileuploader"
"file_storage","domain","File storage","Persisting media previews archives and other managed files locally or remotely.","media_management","filestore|object storage","Covers storage services file cache remote locations migration and retrieval.","Covers where uploaded media and generated previews are retained and recovered.","mod_filestore m_filestore filestore_uploader","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_filestore"
"forms","domain","Forms","Collecting validating and processing structured user input.","content_management","form handling|input","Covers form controls validators postbacks and server-side handling.","Covers constructing forms and understanding required or invalid fields.","zotonic_mod_base zotonic_mod_wires validator docs","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base"
"user_interface_and_interaction","domain","User interface and interaction","Presenting information and supporting actions in public pages and administration screens.","content_management","UI|interaction design|admin interface","Covers component composition browser events feedback state and interaction patterns.","Covers how content controls forms previews and navigation appear and respond.","mod_admin mod_bootstrap mod_wires","Q135707","user interface design","core","https://www.wikidata.org/wiki/Q135707"
"surveys","domain","Surveys","Designing collecting and reporting questionnaire responses.","forms","questionnaire|poll","Covers survey blocks answer storage editing submission and export.","Covers building questionnaires and reviewing responses.","mod_survey","Q747810","questionnaire","core","https://www.wikidata.org/wiki/Q747810"
"comments_and_community","domain","Comments and community","Supporting visitor contributions discussions moderation and community interaction.","content_management","comments|user-generated content","Covers comment storage moderation notifications and access rules.","Covers enabling reviewing moderating and removing comments.","mod_comments","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_comments"
"search_and_discovery","domain","Search and discovery","Finding and ranking resources by text properties relations or facets.","content_management","search|information retrieval","Covers search models query terms result ranking and presentation.","Covers helping visitors and editors find relevant content.","zotonic_mod_search m_search search_query","Q816826","information retrieval","core","https://www.wikidata.org/wiki/Q816826"
"search_engine_optimization","domain","Search engine optimization","Improving how public content is described indexed and presented by search engines.","search_and_discovery","SEO|discoverability","Covers metadata canonical URLs robots directives structured data and sitemaps.","Covers titles descriptions social previews visibility and public reach.","mod_seo mod_sitemap","Q180711","search engine optimization","core","https://www.wikidata.org/wiki/Q180711"
"localization_and_translation","domain","Localization and translation","Adapting interfaces and content for languages locales and regional conventions.","content_management","internationalization|i18n|l10n|translation","Covers translations language negotiation locale formats and translatable values.","Covers translating pages choosing languages and maintaining localized content.","mod_translation mod_l10n translation filters","Q1758815","software localization","core","https://www.wikidata.org/wiki/Q1758815"
"identity_and_accounts","domain","Identity and accounts","Managing users login identities account data and account lifecycle.","","user management|accounts","Covers identity records user resources password flows and account linking.","Covers creating users changing account details and resolving duplicate identities.","mod_admin_identity mod_authentication m_identity","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_authentication"
"authentication","domain","Authentication","Verifying the identity of a user client or service.","identity_and_accounts","login|sign-in","Covers credentials sessions authentication methods and login flows.","Covers signing in password recovery and secure account access.","mod_authentication mod_auth2fa","Q212108","authentication","core","https://www.wikidata.org/wiki/Q212108"
"two_factor_authentication","domain","Two-factor authentication","Authenticating with two different classes of evidence.","authentication","2FA|MFA|TOTP","Covers enrollment challenge recovery and policy enforcement.","Covers enabling and using an additional sign-in factor.","mod_auth2fa","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_auth2fa"
"authorization_and_access_control","domain","Authorization and access control","Determining which users may view change or administer resources and operations.","identity_and_accounts","authorization|ACL|permissions","Covers ACL checks rules roles content groups and protected endpoints.","Covers who may see edit publish delete or administer content.","zotonic_mod_acl_user_groups mod_admin_group m_acl","Q228502","access control","core","https://www.wikidata.org/wiki/Q228502"
"privacy_and_consent","domain","Privacy and consent","Handling personal data tracking choices and consent-dependent behavior.","identity_and_accounts","data protection|cookie consent","Covers consent state conditional scripts retention and privacy-aware integrations.","Covers explaining and honoring visitor choices about cookies and personal data.","mod_cookie_consent","Q188728","privacy","core","https://www.wikidata.org/wiki/Q188728"
"email","domain","Email","Creating receiving relaying and managing electronic mail.","","electronic mail|mail","Covers message composition addresses transport callbacks and templates.","Covers notifications contact forms newsletters and delivery problems.","zotonic_mod_email_status zotonic_mod_email_relay mod_email_receive","Q9158","email","core","https://www.wikidata.org/wiki/Q9158"
"email_delivery","domain","Email delivery","Sending queuing relaying and tracking outgoing email.","email","outbound email|SMTP delivery","Covers queues SMTP relay retries bounce state and delivery reporting.","Covers whether notifications and campaigns reach recipients.","zotonic_mod_email_status zotonic_mod_email_relay zotonic_listen_smtp","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_email_status"
"email_receiving","domain","Email receiving","Accepting parsing and routing incoming email.","email","inbound email|mailbox","Covers SMTP listeners recipient routing MIME parsing and notifications.","Covers workflows where incoming mail creates or updates content.","mod_email_receive zotonic_listen_smtp","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_email_receive"
"mailing_lists","domain","Mailing lists","Managing recipients subscriptions campaigns and bulk email delivery.","email","newsletter|campaign email","Covers recipient sets subscriptions scheduling and mailing status.","Covers newsletters recipient lists subscriptions and campaign results.","mod_mailinglist","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_mailinglist"
"messaging_and_pubsub","domain","Messaging and publish-subscribe","Exchanging asynchronous messages between clients services and Zotonic components.","","event messaging|pubsub|broker","Covers topics subscriptions routing retained messages and request-response patterns.","Explains live updates notifications and interactions that happen without a page reload.","zotonic_mod_mqtt zotonic_listen_mqtt zotonic_notifier","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_mqtt"
"api_and_integration","domain","API and integration","Exposing or consuming structured interfaces between Zotonic and other systems.","","web API|service integration","Covers endpoints payloads authentication serialization callbacks and client contracts.","Covers importing content connecting services and publishing content elsewhere.","zotonic_mod_base_api mod_oauth2 mod_mqtt","Q557770","web API","core","https://www.wikidata.org/wiki/Q557770"
"import_and_migration","domain","Import and migration","Bringing content media identities or configuration into Zotonic and reconciling it with existing data.","api_and_integration","data import|content migration","Covers parsing mapping deduplication transactions and repeatable imports.","Covers moving existing site material into Zotonic and checking the result.","mod_import mod_import_csv mod_import_wordpress","Q59154760","data import","core","https://www.wikidata.org/wiki/Q59154760"
"export_and_syndication","domain","Export and syndication","Publishing structured content or data for reuse outside Zotonic.","api_and_integration","data export|feed|syndication","Covers serialization feeds archives schemas and incremental delivery.","Covers downloading data and distributing content to other channels.","mod_export mod_export mod_sitemap","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_export"
"backup_and_restore","domain","Backup and restore","Preserving and recovering site data media and configuration.","","backup|recovery","Covers snapshots archives retention remote storage and restore procedures.","Covers protecting editorial work and recovering deleted or damaged site data.","mod_backup","Q194274","backup","core","https://www.wikidata.org/wiki/Q194274"
"configuration","domain","Configuration","Defining site module runtime and service settings.","","settings|preferences","Covers configuration lookup defaults validation secrets and environment overrides.","Covers site behavior module options and administration settings.","mod_admin_config m_config zotonic_config","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_admin_config"
"module_management","domain","Module management","Installing activating configuring upgrading and removing Zotonic modules.","configuration","extension management|plugin management","Covers dependencies module lifecycle schemas observers and configuration.","Covers enabling site features and understanding module dependencies.","mod_admin_modules zotonic_apps","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_admin_modules"
"site_management","domain","Site management","Creating configuring updating starting and stopping Zotonic sites.","configuration","site lifecycle|deployment","Covers site scaffolding status host configuration upgrades and lifecycle commands.","Covers site-wide settings health updates and availability.","zotonic_site_management mod_site_update zotonic_site_status","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_site_management"
"scheduled_and_background_work","domain","Scheduled and background work","Running deferred periodic queued or long-running work outside a request.","site_management","cron|jobs|tasks|queue","Covers scheduling workers retries supervision progress and cancellation.","Covers scheduled publishing mailings backups and maintenance tasks.","mod_cron zotonic_core task queue modules","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_cron"
"logging_and_monitoring","domain","Logging and monitoring","Recording and observing events errors state health and performance.","site_management","observability|telemetry|status","Covers structured logs metrics status models event streams and alert integration.","Covers checking site health delivery status and causes of failures.","mod_logging mod_syslog mod_server_storage mod_admin_stats","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_logging"
"routing_and_redirects","domain","Routing and redirects","Mapping incoming URLs to controllers resources or redirect destinations.","site_management","URL routing|dispatch|redirect","Covers dispatch matching URL generation canonicalization and redirect rules.","Covers page addresses moved content aliases and visitor navigation.","zotonic_mod_base mod_custom_redirect mod_admin_frontend","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_custom_redirect"
"geolocation","domain","Geolocation","Resolving or attaching geographic location information to requests and resources.","api_and_integration","location|GeoIP|coordinates","Covers IP lookup geographic properties map data and location-aware behavior.","Covers location fields maps and geographically targeted content.","mod_geoip m_rsc_gone location filters","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_geoip"
"malware_scanning","domain","Malware scanning","Checking uploaded or stored files for malicious content.","file_uploads","virus scanning|ClamAV","Covers scanner integration quarantine errors and upload acceptance policy.","Explains why a file may be rejected or held for safety.","mod_clamav","","","specialized","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_clamav"
"copyright_and_licensing","domain","Copyright and licensing","Recording rights licenses creators and permitted reuse of content and media.","content_management","rights management|attribution","Covers rights metadata license vocabulary and display integration.","Covers choosing licenses adding attribution and understanding reuse conditions.","mod_copyright","","","supporting","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_copyright"
"data_processing_and_formatting","domain","Data processing and formatting","Transforming parsing formatting comparing and serializing values independently of a specific content domain.","","value processing|data formatting|data conversion","Covers template filters validators encoders decoders type conversion and presentation formatting.","Covers how text dates numbers lists and structured values are cleaned converted and displayed.","template filters validators JSON helpers and model APIs","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/filters"
"development_and_debugging","domain","Development and debugging","Building inspecting testing and diagnosing Zotonic applications and modules.","","developer tools|debugging|testing","Covers development mode tracing reload test support and diagnostic output.","Relevant when preview behavior or site errors require technical investigation.","mod_development zotonic_testsandbox zotonic_filewatcher","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_development"
"resource","architecture","Resource","The central Zotonic entity that represents content users media categories and other addressable objects.","","rsc|content item","Covers resource identifiers properties lifecycle APIs and graph participation.","A shared content item such as a page person image event or category.","m_rsc m_rsc_update controller_page","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_core"
"category","architecture","Category","A hierarchical resource type that defines what a resource represents and which behavior applies.","resource","content type|taxonomy node","Covers category membership trees schema behavior and category-specific templates.","The type of a content item such as article event person or image.","m_category mod_admin_category","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_core"
"predicate","architecture","Predicate","A resource that defines the meaning and allowed endpoints of a relationship.","resource","relationship type","Covers predicate validation edge semantics and graph queries.","The named kind of link between two content items such as author or depiction.","m_predicate mod_admin_predicate","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_admin_predicate"
"edge","architecture","Edge","A stored directed relationship between a subject resource and an object resource using a predicate.","resource","relation|connection","Covers graph writes ordering traversal ACL and notifications.","A concrete link from one content item to another.","m_edge mod_admin_predicate","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_core"
"content_group","architecture","Content group","A resource used to group content for ownership workflow or access-control purposes.","resource","workspace|collection","Covers grouping hierarchy ACL boundaries and administrative organization.","A collection that helps organize responsibility and visibility for content.","mod_content_groups mod_acl_user_groups","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_content_groups"
"media_resource","architecture","Media resource","A resource associated with an uploaded generated or externally referenced medium.","resource","medium|media item","Covers medium records MIME metadata previews and download behavior.","An image document audio clip video or embedded item managed as content.","m_media mod_video_embed mod_fileuploader","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_core"
"template","architecture","Template","A server-side template_compiler document that renders data into HTML text email or another representation.","","view|presentation template","Covers inheritance includes expressions tags escaping and rendering context.","Controls how content and interface elements appear.","zotonic_template_compiler zotonic_mod_base","Q351507","template processor","core","https://www.wikidata.org/wiki/Q351507"
"template_filter","architecture","Template filter","A named transformation applied to a value inside a template expression.","template","filter|pipe","Covers type conversion formatting escaping lookup and list operations.","Supports presentation choices such as date formatting image URLs and text cleanup.","186 filter module docs","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base"
"template_validator","architecture","Template validator","A named validation component attached to a form field from a Zotonic template.","template","validator|form validator","Covers browser validation server-side checks arguments error handling and submitted values.","Defines which values a form accepts and how validation problems are shown.","validator modules in zotonic_mod_base authentication and admin","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/validators"
"scomp","architecture","Server component","A reusable server-rendered template component invoked with a Zotonic template tag.","template","scomp|server-side component","Covers component arguments caching variation rendering and dependencies.","A reusable page block such as a menu media item or pager.","28 scomp module docs","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base"
"wire_action","architecture","Wire action","A server-defined browser action or event binding connected through Zotonic wires.","template","action|wire|postback","Covers event binding postbacks action composition and browser updates.","Explains interactive controls that update the page or submit work without manual navigation.","94 action module docs in zotonic_mod_wires and related apps","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_wires"
"model","architecture","Model","A namespaced interface for retrieving or changing data from Erlang templates MQTT or APIs.","","m_model|data model API","Covers model paths ACL serialization and operation callbacks.","Provides structured data used by templates forms and administration screens.","76 model module docs","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"controller","architecture","Controller","A request handler that maps web requests to responses and coordinates authorization rendering or data transfer.","","HTTP handler|request controller","Covers dispatch integration request parsing ACL content negotiation and response headers.","Determines what a page URL form endpoint download or feed does.","50 controller module docs","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_core"
"notification","architecture","Notification","A typed event or request exchanged between decoupled Zotonic components through the notifier.","","observer event|notifier message","Covers observe callbacks first-map-fold delivery and cross-module contracts.","Explains automatic reactions such as updating search data sending email or validating content.","zotonic_notifier notification records across apps","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_notifier"
"dispatch_rule","architecture","Dispatch rule","A route declaration that matches a URL pattern and selects a controller with arguments.","controller","route|dispatch","Covers host routing path variables priorities options and reverse URL generation.","Defines the public or administrative address of a page or operation.","dispatch files and zotonic_mod_base controllers","Q42253","URL","core","https://www.wikidata.org/wiki/Q42253"
"pivot_index","architecture","Pivot and search index","The normalized indexed representation of resource properties used for querying sorting and full-text search.","resource","pivot|index","Covers pivot tasks custom pivots full-text vectors and query performance.","Determines when edited content becomes searchable and how it can be filtered or sorted.","zotonic_mod_search m_rsc pivot modules","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_search"
"cache","architecture","Cache","A temporary store of computed rendered or fetched results with dependency-based invalidation.","","memoization|result cache","Covers cache keys expiry dependencies variation and invalidation.","Explains when page or media changes appear and why cached output may persist.","z_depcache filezcache scomp cache options","Q165596","cache","core","https://www.wikidata.org/wiki/Q165596"
"database","architecture","Database","The persistent structured data store used for resources relations identities configuration and operational records.","","SQL store|persistence","Covers transactions queries schema migrations constraints and connection handling.","Underlies saved content settings users relationships and form submissions.","z_db PostgreSQL schemas throughout apps","Q8513","database","core","https://www.wikidata.org/wiki/Q8513"
"file_store","architecture","File store","The local or remote storage abstraction for managed file content.","","filestore backend|object store","Covers service locations cache copies upload state deletion and move-to-local operations.","Underlies durable storage and retrieval of uploaded media and backups.","mod_filestore m_filestore filestore_uploader","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_filestore"
"background_task","architecture","Background task","A supervised queued scheduled or asynchronous unit of server work.","","job|worker|task","Covers task identity retries progress process ownership and failure handling.","Underlies scheduled publishing bulk mail import backup and maintenance work.","zotonic_core task modules mod_cron","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_core"
"site","architecture","Site","An independently configured Zotonic application with its own host content modules templates and database schema.","","website|tenant","Covers site contexts hosts supervision configuration and application boundaries.","The website and editorial environment being managed.","zotonic_site_status zotonic_site_management","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_site_management"
"module","architecture","Module","An OTP application or site component that adds Zotonic behavior templates data and configuration.","site","extension|feature module","Covers module lifecycle dependencies observers schemas services and dispatch rules.","A feature package that administrators can enable or configure for a site.","68 mod_* module docs and zotonic_apps","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"configure","task","Configure","Set options policies credentials or environment values that determine behavior.","","set up|settings","Covers configuration APIs defaults validation and deployment overrides.","Covers choosing site module workflow email and privacy settings.","mod_admin_config m_config","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_admin_config"
"create","task","Create","Add a new resource relation account module object or configuration record.","","add|insert","Covers constructors insert APIs defaults validation and authorization.","Covers adding pages media users menu items and categories.","m_rsc_update m_edge mod_admin","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_core"
"edit","task","Edit","Change existing content configuration code or relationships.","","update|modify","Covers update APIs change tracking validation transactions and cache invalidation.","Covers revising text properties media menus links and settings.","m_rsc_update mod_admin","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_admin"
"publish","task","Publish","Change availability so content or a message becomes visible or is delivered.","","release|make public","Covers publication flags dates ACL cache and delivery effects.","Covers publishing pages scheduling publication and sending mailings.","m_rsc mod_admin mod_mailinglist","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
"validate","task","Validate","Check input state or content against required rules before accepting it.","","verify|check","Covers validators schema constraints MIME checks ACL and error reporting.","Covers required fields acceptable files and resolving form errors.","17 validator module docs m_rsc_update","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base"
"render","task","Render","Produce presentation output from a template component media or data value.","","display|format","Covers render contexts escaping templates scomps filters and response formats.","Covers how stored content appears on pages in email and in previews.","template compiler scomp and filter docs","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base"
"format","task","Format","Produce a human-readable textual presentation of a value.","render","display value|presentation format","Covers date number duration file-size and localized value formatting.","Covers how dates numbers sizes and other values are presented to readers.","date number duration and file-size template filters","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_base/src/filters"
"query","task","Query","Retrieve select filter sort or aggregate data.","","search|lookup|fetch","Covers model paths search terms SQL graph traversal and pagination.","Covers finding content filtering lists and producing reports.","m_search m_rsc m_edge z_db","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_search"
"index","task","Index","Normalize and store data structures that make resources searchable or quickly retrievable.","","pivot|reindex","Covers pivot queues full-text fields cache indexes and rebuilds.","Covers making newly edited or migrated content discoverable.","zotonic_mod_search pivot tasks","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_search"
"upload","task","Upload","Transfer a file from a user or client into Zotonic.","","attach|send file","Covers multipart and chunked transport progress validation and storage handoff.","Covers adding images videos documents and other media.","mod_fileuploader mod_filestore","","","core","https://github.com/zotonic/zotonic/tree/master/apps/zotonic_mod_fileuploader"
"transform","task","Transform","Convert reshape enrich resize or derive one representation from another.","","convert|process|derive","Covers filters media previews import mapping serialization and text conversion.","Covers cropping images formatting text and adapting imported content.","image preview filters import modules","","","core","https://github.com/zotonic/zotonic/tree/master/apps"
